protein_id,log2FC_2019,padj_2019,neg_log10padj_2019,DAP_2019,log2FC_2022,padj_2022,neg_log10padj_2022,DAP_2022,mean_log2FC,fisher_combined_padj,neg_log10padj,DAP
Td00001aa020472_T001,0.230203013366421,0.808373943307544,0.092387693746701,NS,-0.445992923763836,3.26685699568551e-6,5.48586987603695,NS,-0.1078949551987075,1.8942332291390976e-4,3.7225665491489255,NS
Td00001aa020513_T001,-0.450084446378045,0.0162270636816348,1.78976005948575,NS,-0.537420052612789,2.714922988543e-5,4.56624248508993,NS,-0.493752249495417,4.404012413834668e-5,4.356151465528556,NS
Td00001aa020530_T002,-0.2688167584278,0.0710500110032157,1.14843585047915,NS,-0.140836035158439,0.403509721612762,0.394145997517085,NS,-0.2048263967931195,0.22376893341220136,0.6502002081748813,NS
Td00001aa020539_T001,-0.41119543298445,0.0780808637201627,1.10745539120681,NS,-0.766809509217401,3.5390804010353e-4,3.451109570923,NS,-0.5890024711009255,0.0012602650891999463,2.8995380940349875,NS
Td00001aa020548_T001,-0.49817873457909,0.00834161429318907,2.07874989531161,NS,-0.151268798304053,2.7289706867238e-4,3.5640011292852,NS,-0.3247237664415715,1.6719609807084565e-4,3.7767738621007942,NS
Td00001aa020557_T001,-0.997117491466879,0.0108518475943109,1.96449631419302,NS,-0.190490793427609,0.893063330917091,0.0491177423515644,NS,-0.593804142447244,0.10799352265653749,0.9666022922804963,NS
Td00001aa020578_T003,0.323081789503733,0.221341398978402,0.654937349442051,NS,-0.117445303097084,0.554895424722101,0.255788856058309,NS,0.1028182432033245,0.5129764084340336,0.2899026074466875,NS
Td00001aa020604_T003,0.0412429822318813,0.812905226475607,0.0899600841942499,NS,-0.61167395392904,0.00122463226459782,2.91199430267245,NS,-0.28521548584857936,0.020448873501781914,1.6893306116388043,NS
Td00001aa020606_T003,0.154453592679872,0.181114415300754,0.742046981842636,NS,-0.13844611699045,0.753244592871019,0.123063977204831,NS,0.008003737844710992,0.5394499719572667,0.26804882514294964,NS
Td00001aa020635_T001,-0.486004020632987,0.197396695720547,0.704660121384435,NS,-0.427638305682344,3.97497606357948e-5,4.40066548222428,NS,-0.4568211631576655,4.6113012485405334e-4,3.336176505127096,NS
Td00001aa020638_T001,-0.302226180444814,0.241856923222558,0.616441476295705,NS,-0.611462656952842,2.02647949747251e-6,5.6932577857933,NS,-0.45684441869882797,4.777154362563122e-5,4.320830725280125,NS
Td00001aa020661_T002,0.00288250853312136,0.998698187863881,5.6573814953456e-4,NS,0.230962665580495,0.0623629481367364,1.20507336222514,NS,0.11692258705680818,0.35138342116035426,0.4542187330752941,NS
Td00001aa020670_T004,-0.545824106814198,0.00271616553625546,2.56604376558021,NS,-0.23429044385596,0.00566293398831883,2.24695850082729,NS,-0.390057275335079,7.87953251723298e-4,3.1034995478922465,NS
Td00001aa020699_T002,-1.04990490582631,0.0821220253821293,1.08554034812956,NS,-0.692531221494996,0.165354452609436,0.78158410605616,NS,-0.871218063660653,0.13718108397588014,0.862705769760931,NS
Td00001aa020722_T001,-0.343732465205711,0.147198822504178,0.832095664060905,NS,-0.233780184931308,0.0116393664816507,1.93407065723001,NS,-0.2887563250685095,0.03075241244717205,1.5121208092739804,NS
Td00001aa020726_T001,1.48954293564247,0.481518461078504,0.317387057675836,NS,-0.476624184162485,0.40032329649794,0.397589135735249,NS,0.5064593757399926,0.6398868668544537,0.19389680327233988,NS
Td00001aa020760_T001,-0.0724827538015237,0.972815355776914,0.0119695827294973,NS,-0.0893352612305823,0.228954000560216,0.640251763553418,NS,-0.08090900751605301,0.680505919568762,0.16716809261367074,NS
Td00001aa020766_T008,0.331131922217202,0.395148041290897,0.403240166473494,NS,0.308368886821665,0.407855570670299,0.389493601531762,NS,0.3197504045194335,0.5859952203817151,0.23210592625206647,NS
Td00001aa020796_T002,1.05797006863733,0.141046223368132,0.850638537954831,NS,1.76667903044458,1.7567624810598698e-16,15.7552869522998,Up,1.4123245495409549,8.65637564360706e-14,13.062663905610204,Up
Td00001aa020858_T007,-0.994240730711315,0.0274918919787426,1.56079537119133,NS,-0.627392206842033,1.64312242521376e-6,5.78433007709202,NS,-0.810816468776674,6.594014578019245e-6,5.18085009705542,NS
Td00001aa020868_T002,0.496717987935177,0.0470428581466816,1.32750630003515,NS,0.212077926515268,0.00821305013039617,2.0854955263401,NS,0.3543979572252225,0.010133230746191556,1.9942520678137157,NS
Td00001aa020877_T002,0.0799753767205959,0.901813228950376,0.0448833981955494,NS,-0.106548864786961,0.0541942977843268,1.26604640665497,NS,-0.01328674403318255,0.3063860280417086,0.5137310434870246,NS
Td00001aa020939_T003,-0.979942347658747,0.00202017724442248,2.69461052515848,NS,-0.893817258185111,2.9002935708772e-13,12.5375580401151,NS,-0.936879802921929,1.337115578728424e-12,11.873831051201359,NS
Td00001aa020969_T002,0.696884090855454,0.245968650513342,0.609120241582235,NS,-0.209678966718775,0.0229429514736845,1.63935071344946,NS,0.2436025620683395,0.07396597555902727,1.1309680103376278,NS
Td00001aa020997_T002,-1.39592867633114,7.3677966493859e-4,3.13266236913969,Down,-0.562473251861864,7.14189935509486e-5,4.14618627425454,NS,-0.979200964096502,7.463910158504705e-6,5.127033596740184,NS
Td00001aa021041_T001,-0.98564470702292994,0.0468953828427873,1.32886991431283,NS,-0.581028594550754,0.0298987249630879,1.5243473318529,NS,-0.783336650786842,0.02660612392082729,1.575018390477143,NS
Td00001aa021055_T002,1.34084707705041,9.756134775753e-4,3.01072220877225,Up,0.722897544798004,2.48208891833583e-7,6.60518266439616,NS,1.031872310924207,8.264800045646919e-8,7.08276764906442,Up
