orthogroup,log2FC,padj,species,DAP,rank
OG0001383,1.2761988650322418,1,Ag,NS,70
OG0001417,-0.25842515258120435,0.149172989626123,Ag,NS,1361
OG0001432,-0.1600661881644637,0.256028228890501,Ag,NS,1173
OG0001439,-0.4538259090163288,1,Ag,NS,1761
OG0001450,0.6535186707535996,1,Ag,NS,178
OG0001455,-0.0291463456595165,1,Ag,NS,895
OG0001467,-0.31293931166010763,0.0948807897202051,Ag,NS,1482
OG0001476,0.05380644369579382,1,Ag,NS,742
OG0001479,-0.9137178396724753,0.851821919526265,Ag,NS,2106
OG0001484,-0.41311518714781525,0.235411863234725,Ag,NS,1686
OG0001489,-0.12186323337305248,1,Ag,NS,1081
OG0001495,0.4527027934654697,1,Ag,NS,267
OG0001499,-0.40684802040935314,0.044577306307096,Ag,NS,1674
OG0001503,-0.6462234692810652,0.229246155244113,Ag,NS,1954
OG0001506,0.06595823301121813,0.35806560448103403,Ag,NS,718
OG0001529,0.37476849174903115,0.295687566924448,Ag,NS,312
OG0001536,-0.488026018218199,1,Ag,NS,1799
OG0001541,-0.11751121865823791,0.280005451669809,Ag,NS,1069
OG0001550,-0.306054063455223,1,Ag,NS,1468
OG0001569,-0.02034044828417553,1,Ag,NS,872
OG0001571,0.6050201530624095,1,Ag,NS,196
OG0001580,0.6304054714823233,0.0221616861452161,Ag,NS,183
OG0001588,-0.15521264992094003,1,Ag,NS,1156
OG0001609,-0.9367355591079651,0.0114266259119861,Ag,NS,2115
OG0001612,0.10433665981473551,1,Ag,NS,648
OG0001619,-1.2754038014333118,0.0843038823441318,Ag,NS,2194
OG0001632,0.8508792022078138,0.0029194555631858,Ag,NS,131
OG0001638,-0.608493821292329,1,Ag,NS,1924
OG0001655,-0.7710274302398392,0.364189368445153,Ag,NS,2037
OG0001659,-0.06642736173897607,1,Ag,NS,964
OG0001661,0.03130333720543176,1,Ag,NS,780
OG0001662,-0.38879801857469554,0.863083315610886,Ag,NS,1639
OG0001675,-0.3346072289581085,1,Ag,NS,1527
OG0001684,-0.24982229440694284,1,Ag,NS,1347
OG0001701,-0.3139418409005798,0.155634813933632,Ag,NS,1484
OG0001706,-0.36869044704752696,0.0109030475148092,Ag,NS,1596
OG0001716,-0.732164607902385,0.0239367785534956,Ag,NS,2011
