protein_id,log2FC,padj,neg_log10padj,DAP
Ag00001aa138047_T001,1.3190398155625358,0.00892797863304662,2.0492468577838543,Up
Ag00001aa009933_T002,-0.488026018218199,0.0165152325061983,1.7821153078067697,NS
Ag00001aa124559_T001,-2.3883554566263383,0.054481163605303,1.2637536253616886,NS
Ag00001aa099401_T001,-0.008682243099800882,1,-0,NS
Ag00001aa152722_T001,-0.41119543298444966,1,-0,NS
Ag00001aa009503_T002,-0.8703872618695304,1,-0,NS
Ag00001aa098030_T001,0.05102400302446689,1,-0,NS
Ag00001aa087830_T001,-0.3291596641184381,0.266536396528317,0.5742434780741063,NS
Ag00001aa129298_T001,-0.7060410209713056,0.948217573234638,0.023092000200239972,NS
Ag00001aa031315_T003,-0.29335894269059154,0.96555062229545,0.015224951913332082,NS
Ag00001aa153325_T001,-0.026205070347394003,1,-0,NS
Ag00001aa050502_T001,-0.03948828988097554,1,-0,NS
Ag00001aa070760_T001,0.6182386555954547,0.729154531999189,0.13718042054025167,NS
Ag00001aa026485_T001,0.6276068381296498,0.0565493293346783,1.2475725413658574,NS
Ag00001aa041730_T001,-0.4520566887096497,0.344923638365764,0.46227704146900117,NS
Ag00001aa046177_T001,-0.0694518807521452,1,-0,NS
Ag00001aa029372_T001,-0.017417053077409404,1,-0,NS
Ag00001aa039501_T001,0.4615285594728771,0.0257579747305089,1.5890882871950716,NS
Ag00001aa075954_T002,0.7389839547005117,0.0221616861452161,1.6543971999136045,NS
Ag00001aa069821_T001,-0.5864059175908248,0.105386856120975,0.977213551078765,NS
Ag00001aa012115_T001,-1.4900508536956893,0.740112490209066,0.13070226653360473,NS
Ag00001aa021850_T002,-0.22095044716254147,0.871428489659808,0.05976824575464895,NS
Ag00001aa092307_T001,0.1401242239090707,1,-0,NS
Ag00001aa116942_T002,-0.6082322800440033,0.771460387348719,0.11268636901436256,NS
Ag00001aa079185_T001,-0.117161344232749,1,-0,NS
