protein_id,log2FC_2022,padj_2022,DAP_2022,log2FC_2019,padj_2019,DAP_2019
Td00001aa000864_T001,0.06656891780354715,0.07358875777883245,NS,-0.3040061868901,0.530971895945299,NS
Td00001aa000866_T001,-0.44290765027008516,0.007979279158295726,NS,0.276198865032242,0.438199582582501,NS
Td00001aa000868_T002,-0.25227493553975905,2.3589959070344785e-4,NS,-0.334607228958109,0.141743266346918,NS
Td00001aa000869_T002,-0.10377699313054088,0.08435185831678509,NS,-0.380821783940931,0.241741512580427,NS
Td00001aa000883_T001,-0.5694526024394216,9.614492784191919e-4,NS,-0.575615328461903,0.766734251554657,NS
Td00001aa000885_T001,0.6756314813349469,0.006387869435435904,NS,-0.0664273617389761,0.980155363135776,NS
Td00001aa000920_T002,-1.09944056131962,4.632725436135999e-6,Down,-0.943416471633633,0.0888942411063933,NS
Td00001aa000926_T002,0.64485282311077,4.746456229986595e-6,NS,0.357270475679559,0.0321853262823806,NS
Td00001aa000964_T002,0.3250945595721709,0.7832781683615426,NS,2.75958197323355,0.422373582263228,NS
Td00001aa000967_T002,-2.9113993740228645,3.1213742114030405e-5,Down,-1.94897599697553,0.30710690366536,NS
Td00001aa000997_T001,-0.3776617906028763,0.004880343145457397,NS,-0.954557029238833,0.0414442730331863,NS
Td00001aa001066_T001,-0.7180902785479224,4.202866837125029e-5,NS,-0.380821783940931,0.16414954223885,NS
Td00001aa001073_T002,0.2984574349428034,0.11149528647942897,NS,-0.0350469470992008,0.512994761703504,NS
Td00001aa001084_T001,-0.27931589440973126,0.058899234469281476,NS,-0.204233052217608,0.283905622273207,NS
Td00001aa001111_T001,0.6806464860658812,0.024750794673852945,NS,-0.471928835421265,0.31976899308646,NS
Td00001aa001113_T004,-0.18054798509704723,0.1903608448618201,NS,-0.524915117051217,0.0614640483326249,NS
Td00001aa001118_T001,-0.4065081218287388,5.2963734082462224e-5,NS,-0.214240225572989,0.0471961787817186,NS
Td00001aa001127_T001,-0.2858339173199948,0.1758212307537163,NS,-0.248107861595691,0.250877503327183,NS
Td00001aa001141_T006,0.0316208429338981,0.897788879798796,NS,0.20163386116965001,0.313674120852142,NS
Td00001aa001142_T003,-0.2588635439993771,0.04623531866539452,NS,-0.579921884020626,0.0366021381837668,NS
Td00001aa001143_T001,-0.676399317137708,0.0160972293579003,NS,-0.805912947883698,0.0397113949229584,NS
Td00001aa001145_T003,0.18413785257963955,0.057213750317868996,NS,-0.163267919540864,0.349086708006579,NS
Td00001aa001192_T001,0.22083638510744766,0.02443821200349447,NS,-0.320125852253377,0.618911432028095,NS
Td00001aa001210_T001,-0.21471749650856436,6.328540801957235e-4,NS,-0.106249498279434,0.187028683795523,NS
Td00001aa001215_T001,-0.46207568775099545,0.003996232921242475,NS,-0.763660460831626,0.0509687170220873,NS
Td00001aa001237_T002,0.025932753680389733,0.8557156154187144,NS,-0.367731784500487,0.148213893708327,NS
Td00001aa001245_T001,-0.4988363272112586,0.010088710593615983,NS,-0.45600928033515,0.10450798877722,NS
Td00001aa001265_T002,0.06027983918269265,0.0057757921395875725,NS,0.267835392097615,0.0397653234254448,NS
Td00001aa001267_T001,-0.441284256486698,3.2265362640849577e-4,NS,-0.156820109742826,0.267055496971091,NS
Td00001aa001268_T005,1.9354222212754595,2.794065141334101e-4,Up,1.54002726925751,0.00247429422569558,Up
Td00001aa001283_T001,0.17097828651257832,0.08449374482427052,NS,0.159629185821228,0.920126127077465,NS
Td00001aa001300_T001,-0.2893923161315634,1.0902172108059247e-6,NS,-0.156820109742826,0.231951257304947,NS
Td00001aa001301_T001,-0.32478080614582194,0.012826227281935654,NS,-0.226003674888827,0.353769828900137,NS
Td00001aa001319_T001,-0.22417282652351195,0.019626904951488295,NS,0.277389698810864,0.853549992665621,NS
Td00001aa001322_T001,0.5857599829348643,1.7161764265067635e-4,NS,0.347098670622268,0.111671270336938,NS
Td00001aa001355_T001,-0.9895035172250628,0.0023261963860899872,NS,-2.07704103576383,0.0635386212679569,NS
Td00001aa001373_T007,-0.015206056687873276,0.613994995480136,NS,0.50182126542091,0.339942710792311,NS
Td00001aa001418_T004,0.1165147860320266,0.09672680237411221,NS,-0.332789087519129,0.0425951880298311,NS
Td00001aa001425_T001,0.10575561188189989,0.019269106398726185,NS,0.483364360713349,0.0578160577685803,NS
Td00001aa001489_T001,0.12878121625373654,0.8322452328106195,NS,-1.46593839757888,0.0568229296855186,NS
Td00001aa001495_T004,0.19104152248621714,0.15288747326961644,NS,-0.260151897300673,0.773673468542828,NS
Td00001aa001498_T001,-0.0018573049348458222,0.8207131046103376,NS,-0.857259827883918,0.0983026626797518,NS
Td00001aa001511_T001,1.8209694622041155,2.6862833876035855e-6,Up,1.79659775404831,0.0258314423465259,Up
Td00001aa001519_T001,-0.5438051616533299,0.0035840684063101957,NS,-0.823677227359537,0.0148239754212568,NS
