"analysis_ID"	"analysis_ID_plastome"	"species_orig"	"acc_species"	"acc_species_author"	"acc_genus"	"acc_genus_author"	"publication"	"data_type"	"isolate"	"voucher_ID"	"germplasm_ID"	"repo_accession"	"plastome_accession"	"removed_nuclear"	"removed_plastome"	"soreng2022_genus"	"subtribe"	"tribe"	"subfamily"	"major.clade"
"Pleioblastus_hindsii716__MD"	"KU569974.1__Pseudosasa_hindsii"	"Pleioblastus hindsii"	"Pseudosasa hindsii"	"(Munro) S.L.Chen & G.Y.Sheng ex T.G.Liang"	"Pseudosasa"	"Makino ex Nakai"	"Attigala et al. 2016"	"shotgun"	NA	"ISC: L. Clark 1317"	NA	NA	"INSDC: KU569974"	"data thresholds"	NA	"Pseudosasa"	"Arundinariinae"	"Arundinarieae"	"Bambusoideae"	"BOP"
"Pseudosorghum_fasciculare__EK"	"KY596157.1__Pseudosorghum_fasciculare"	"Pseudosorghum fasciculare"	"Pseudosorghum fasciculare"	"(Roxb.) A.Camus"	"Pseudosorghum"	"A.Camus"	"Arthan et al. 2017 Syst. Bot. 42:418-431"	"shotgun"	NA	"BKF: Arthan 067"	NA	NA	"INSDC: KY596157"	"species duplicated"	NA	"Pseudosorghum"	"Saccharinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"Pseudosorghum_fasiculare__PANAND"	NA	"Pseudosorghum fasciculare"	"Pseudosorghum fasciculare"	"(Roxb.) A.Camus"	"Pseudosorghum"	"A.Camus"	"Schulz et al., 2023, bioRxiv, doi.org/10.1101/2023.09.19.558246"	"shotgun"	NA	"MO: Traiperm et al. 512"	"Leaf from Traiperm et al. 512"	"INSDC: PRJNA919033"	NA	NA	"species duplicated"	"Pseudosorghum"	"Saccharinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"PAFTOL_7174__Pseudostachyum_polymorphum"	NA	"Pseudostachyum polymorphum"	"Pseudostachyum polymorphum"	"Munro"	"Pseudostachyum"	"Munro"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"KUN: Liu  J-X. 17010"	NA	"INSDC: ERR7620269"	NA	NA	"data thresholds"	"Pseudostachyum"	"Melocanninae"	"Bambuseae"	"Bambusoideae"	"BOP"
"PAFTOL_8372__Pseudoxytenanthera_monadelpha"	NA	"Pseudoxytenanthera monadelpha"	"Pseudoxytenanthera monadelpha"	"(Thwaites) Soderstr. & R.P.Ellis"	"Pseudoxytenanthera"	"Soderstr. & R.P.Ellis"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"DEK: Attigala, L. 145"	NA	"INSDC: ERR7620921"	NA	NA	"data thresholds"	"Pseudoxytenanthera"	"Bambusinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"Ptilagrostis_concinna_Z16034__HM"	NA	"Ptilagrostis concinna"	"Ptilagrostis concinna"	"(Hook.f.) Roshev."	"Ptilagrostis"	"Griseb."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Z16034"	NA	NA	"INSDC: SRR16234964"	NA	NA	"data thresholds"	"Ptilagrostis"	NA	"Stipeae"	"Pooideae"	"BOP"
"Puccinellia_chinampoensis_Z18030__HM"	NA	"Puccinellia chinampoensis"	"Puccinellia chinampoensis"	"Ohwi"	"Puccinellia"	"Parl."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: Z18030"	NA	NA	"INSDC: SRR16483046"	NA	NA	"data thresholds"	"Puccinellia"	"Coleanthinae"	"Poeae"	"Pooideae"	"BOP"
"Puccinellia_himalaica_ZS2185__HM"	NA	"Puccinellia himalaica"	"Puccinellia himalaica"	"Tzvelev"	"Puccinellia"	"Parl."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: ZS2185"	NA	NA	"INSDC: SRR16483093"	NA	NA	"data thresholds"	"Puccinellia"	"Coleanthinae"	"Poeae"	"Pooideae"	"BOP"
"Puccinellia_nuttalliana143__MD"	"KM974750.1__Puccinellia_nuttalliana"	"Puccinellia nuttalliana"	"Puccinellia nuttalliana"	"(Schult.) Hitchc."	"Puccinellia"	"Parl."	"Saarela et al. 2015"	"shotgun"	NA	"CAN: J.M. Saarela, C.J. Sears & J.R. Maze 713"	NA	NA	"INSDC: KM974750"	NA	NA	"Puccinellia"	"Coleanthinae"	"Poeae"	"Pooideae"	"BOP"
"GAP_80659__Puccinellia_perlaxa"	NA	"Puccinellia perlaxa"	"Puccinellia perlaxa"	"(N.G.Walsh) N.G.Walsh & A.R.Williams"	"Puccinellia"	"Parl."	"https://www.genomicsforaustralianplants.com/"	"sequence capture (Angiosperms353)"	NA	"MEL: Birch, J.L 554"	NA	NA	NA	NA	"data thresholds"	"Puccinellia"	"Coleanthinae"	"Poeae"	"Pooideae"	"BOP"
"REF___Puccinellia_tenuiflora__genome"	NA	"Puccinellia tenuiflora"	"Puccinellia tenuiflora"	"(Griseb.) Scribn. & Merr."	"Puccinellia"	"Parl."	NA	"complete genome"	NA	""	NA	"INSDC: GCA_012064385.1"	NA	NA	"data thresholds"	"Puccinellia"	"Coleanthinae"	"Poeae"	"Pooideae"	"BOP"
"Puelia_ciliata_18_DNA__HM"	"Puelia_ciliata_18_DNA__HM"	"Puelia ciliata"	"Puelia ciliata"	"Franch."	"Puelia"	"Franch."	"Huang et al. 2022 Mol Plant"	"shotgun"	"Missouri Botanical Garden: 18_DNA"	NA	NA	"INSDC: SRR16548446"	NA	NA	NA	"Puelia"	NA	"Atractocarpeae"	"Puelioideae"	NA
"PAFTOL_9127__Puelia_coriacea"	NA	"Puelia coriacea"	"Puelia coriacea"	"Clayton"	"Puelia"	"Franch."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Leonard, A. 1656"	NA	"INSDC: ERR7621431"	NA	NA	"data thresholds"	"Puelia"	NA	"Atractocarpeae"	"Puelioideae"	NA
"Puelia_dewevrei_21_DNA__HM"	"Puelia_dewevrei_21_DNA__HM"	"Puelia dewevrei"	"Puelia dewevrei"	"De Wild. & T.Durand"	"Puelia"	"Franch."	"Huang et al. 2022 Mol Plant"	"shotgun"	"Missouri Botanical Garden: 21_DNA"	NA	NA	"INSDC: SRR16548445"	NA	NA	NA	"Puelia"	NA	"Atractocarpeae"	"Puelioideae"	NA
"Puelia_olyriformisII__MD"	"KC534841.1__Puelia_olyriformis"	"Puelia olyriformis"	"Puelia olyriformis"	"(Franch.) Clayton"	"Puelia"	"Franch."	"Jones et al. 2014"	"shotgun"	NA	"MO: Clayton 1060"	NA	NA	"INSDC: KC534841"	"data thresholds"	NA	"Puelia"	NA	"Atractocarpeae"	"Puelioideae"	NA
"Puelia_olyriformis_22_DNA__HM"	NA	"Puelia olyriformis"	"Puelia olyriformis"	"(Franch.) Clayton"	"Puelia"	"Franch."	"Huang et al. 2022 Mol Plant"	"shotgun"	"Missouri Botanical Garden: 22_DNA"	NA	NA	"INSDC: SRR16548444"	NA	NA	"species duplicated"	"Puelia"	NA	"Atractocarpeae"	"Puelioideae"	NA
"PAFTOL_9446__Racemobambos_gibbsiae"	NA	"Racemobambos gibbsiae"	"Racemobambos gibbsiae"	"(Stapf) Holttum"	"Racemobambos"	"Holttum"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Gibbs, L.S. 4091"	NA	"INSDC: ERR7621546"	NA	NA	"data thresholds"	"Racemobambos"	"Racemobambosinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"Racemobambos_hepburnii1613__MD"	"Racemobambos_hepburnii1613__MD"	"Racemobambos hepburnii"	"Racemobambos hepburnii"	"S.Dransf."	"Racemobambos"	"Holttum"	"Unpublished"	"shotgun"	NA	"ISC: W.K. Meng 2891"	NA	NA	NA	NA	NA	"Racemobambos"	"Racemobambosinae"	"Bambuseae"	"Bambusoideae"	"BOP"
